group,model,sampleid,repeat,score,score_raw,penalty_applied,timed_out,n_correct,n_total,n_tool_calls,result_file
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,0,1.0,1.0,False,False,4,4,8,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,1,1.0,1.0,False,False,4,4,6,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,2,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,3,1.0,1.0,False,False,4,4,5,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,4,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,5,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,6,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,7,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,8,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,9,0.9608,1.0,True,False,4,4,11,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,10,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
